name,club,season,position,overall,nationality
Daniel Queipo Menéndez,Real Sporting de Gijón,2022/23,LW,64,Spain
David Alba Fernández,CD Leganés,2022/23,CB,64,Spain
Mohamed Airam Ramos Wade,Unión Deportiva Las Palmas,2022/23,GK,64,Spain
Álvaro Aceves Catalina,Real Valladolid CF,2022/23,GK,63,Spain
Diego Sánchez Pérez,Real Sporting de Gijón,2022/23,LB,63,Spain
Malcom Adu Ares Djaló,Athletic Club de Bilbao,2022/23,RW,63,Spain
Roger Martínez Santamaría,RCD Espanyol de Barcelona,2022/23,CM,63,Spain
Javier Rubio Haro,CD Leganés,2022/23,RB,63,Spain
Noel López de la Fuente,Real Madrid CF,2022/23,ST,63,Spain
Yaroslav Meykher,Real Valladolid CF,2022/23,GK,63,Ukraine
Naim García García,CD Leganés,2022/23,RW,63,Spain
Rubén Iranzo Lendínez,Valencia CF,2022/23,CB,63,Spain
Ricard Artero Ruiz,Girona FC,2022/23,CAM,63,Spain
David Torres Ortiz,Real Valladolid CF,2022/23,CB,63,Spain
Ángel Jiménez Gallego,Granada CF,2022/23,GK,63,Spain
Sergio Barcia Larenxeira,RC Celta de Vigo,2022/23,RB,63,Spain
César Tárrega Requeni,Valencia CF,2022/23,CB,63,Spain
Eric Monjonell Torras,Girona FC,2022/23,CB,63,Spain
Iker Benito Sánchez,CA Osasuna,2022/23,RW,63,Spain
Pablo Ibáñez Lumbreras,CA Osasuna,2022/23,CM,63,Spain
Pablo Tomeo Félez,SD Huesca,2022/23,CDM,63,Spain
Antonio Gomis Alemañ,Atlético de Madrid,2022/23,GK,63,Spain
Lorenzo Zúñiga Owono,Málaga CF,2022/23,ST,63,Spain
Adrián López Garrote,Granada CF,2022/23,GK,63,Spain
Sergio Guerrero Romero,Atlético de Madrid,2022/23,CM,63,Spain
Pelayo Morilla Cabal,Real Sporting de Gijón,2022/23,RW,63,Spain
Eusebio Monzó Alfonso,SD Huesca,2022/23,CB,63,Spain
Iván San José Cantalejo,Real Valladolid CF,2022/23,CAM,63,Spain
Ibrahim Diabate,RCD Mallorca,2022/23,ST,63,Côte d'Ivoire
Pablo Gálvez Miranda,RCD Mallorca,2022/23,ST,63,Spain
Pablo Cuñat Campos,Levante Unión Deportiva,2022/23,GK,63,Spain
Ander Iruarrizaga Díez,Athletic Club de Bilbao,2022/23,GK,63,Spain
Issa Fomba,Málaga CF,2022/23,RW,63,Mali
Miguel Rodríguez Vidal,RC Celta de Vigo,2022/23,RW,63,Spain
Aitor Paredes Casamichana,Athletic Club de Bilbao,2022/23,CB,63,Spain
Toni Fuidias Ribera,Girona FC,2022/23,GK,63,Spain
Jonatan Carmona Álamo,Elche CF,2022/23,CDM,63,Spain
Jesús Rodríguez Ortuño,Granada CF,2022/23,LW,63,Spain
Gabriel Veiga Novas,RC Celta de Vigo,2022/23,CAM,63,Spain
Uros Milovanović,Real Sporting de Gijón,2022/23,ST,63,Serbia
Jon Sillero Monreal,Athletic Club de Bilbao,2022/23,CB,63,Spain
Luis Federico López Andúgar,Real Madrid CF,2022/23,GK,63,Spain
Carlos Martín Domínguez,Atlético de Madrid,2022/23,ST,63,Spain
Ignasi Vilarrasa Palacios,SD Huesca,2022/23,LB,62,Spain
Lucas Cañizares Conchello,Real Madrid CF,2022/23,GK,62,Spain
Rafael Tresaco Blasco,SD Huesca,2022/23,ST,62,Spain
Emilio Bernad Sánchez,Valencia CF,2022/23,GK,62,Spain
John Chetauya Donald,Elche CF,2022/23,CB,62,Spain
Abdallahi Mahmoud,Deportivo Alavés,2022/23,CM,62,Mauritania
Diego Gutiérrez Chinea,Unión Deportiva Las Palmas,2022/23,CDM,62,Spain
Estanislau Pedrola Fortuny,FC Barcelona,2022/23,RW,62,Spain
Jordi González-Pola,Real Sporting de Gijón,2022/23,CB,62,Spain
David Cuenca Barreno,Unión Deportiva Almería,2022/23,LB,62,Spain
Nabil Touaizi Zoubdi,RCD Espanyol de Barcelona,2022/23,ST,62,Morocco
Unai Dufur Espesolin,CA Osasuna,2022/23,CB,62,Spain
Vicente Esquerdo Santas,Valencia CF,2022/23,CM,62,Spain
Manuel Garrido Álvarez,CD Leganés,2022/23,ST,62,Spain
Unai Marrero Larrañaga,Real Sociedad,2022/23,GK,62,Spain
Alejandro Pérez Cea,RCD Espanyol de Barcelona,2022/23,CDM,62,Spain
Fabio Blanco Gómez,FC Barcelona,2022/23,RW,62,Spain
Marcos García Trabanco,Real Sporting de Gijón,2022/23,RW,62,Spain
Pere Joan García Bauzà,RCD Mallorca,2022/23,GK,62,Spain
Álex Pachón Párraga,Unión Deportiva Las Palmas,2022/23,ST,62,Spain
José Ángel Carmona Navarro,Sevilla FC,2022/23,RB,62,Spain
Víctor Wehbi Aznar Ussen,Cádiz CF,2022/23,GK,62,Brazil
Álvaro Roncal Rivera,SD Eibar,2022/23,RB,62,Spain
Borislav Ivaylov Stankov,Real Valladolid CF,2022/23,ST,62,Spain
Marc Tenas Ureña,Deportivo Alavés,2022/23,ST,62,Spain
Roberto Arroyo Gregorio,Real Valladolid CF,2022/23,ST,62,Spain
Marco Moreno Ojeda,Atlético de Madrid,2022/23,CB,62,Spain
Iker Álvarez de Eulate,Villarreal CF,2022/23,GK,62,Andorra
Álvaro Santamaría Arenas,Real Sporting de Gijón,2022/23,ST,62,Spain
Kevin Carlos Omoruyi Benjamin,SD Huesca,2022/23,ST,62,Spain
Pablo Valencia García,CA Osasuna,2022/23,GK,62,Spain
Rubén de Tomás Gómez,Rayo Vallecano,2022/23,LW,62,Spain
Wassim Keddari Boulif,RCD Espanyol de Barcelona,2022/23,CB,62,Spain
Alejandro Padilla Pérez,Athletic Club de Bilbao,2022/23,GK,62,Spain
Iker Piedra Blanco,Girona FC,2022/23,GK,62,Spain
Alan Godoy Domínguez,Deportivo Alavés,2022/23,ST,62,Spain
Amankwaa Akurugu,Getafe CF,2022/23,LB,62,Ghana
Javier Guerra Moreno,Valencia CF,2022/23,CM,62,Spain
Alejandro Revuelta Montero,Getafe CF,2022/23,CB,62,Spain
Jaume Tovar Seguí,RCD Mallorca,2022/23,ST,62,Spain
Javier Almerge Viñuales,SD Huesca,2022/23,RB,61,Spain
Enrique Ríos Vega,Real Valladolid CF,2022/23,CB,61,Spain
José Antonio Ángel García,Cádiz CF,2022/23,RB,61,Spain
Biel Farrés del Castillo,Girona FC,2022/23,CB,61,Spain
Takuhiro Nakai,Real Madrid CF,2022/23,CAM,61,Japan
Alejandro Asensio Crespillo,Rayo Vallecano,2022/23,LW,61,Spain
Matías Vesprini,CD Leganés,2022/23,CB,61,Argentina
Álex Rico Pico,Málaga CF,2022/23,CDM,61,Spain
Imanol Baz Berganza,Deportivo Alavés,2022/23,CB,61,Spain
Karl Edouard Etta Eyong,Cádiz CF,2022/23,CDM,61,Cameroon
José David Menargues,Valencia CF,2022/23,RB,61,Spain
Manuel Rico Del Valle,SD Huesca,2022/23,LW,61,Spain
Pablo Pérez Rico,Sevilla FC,2022/23,LB,61,Spain
Enrique Jesús Salas Valiente,Sevilla FC,2022/23,CB,61,Spain
Julen Jon Guerrero Landabaso,Real Madrid CF,2022/23,CAM,61,Spain
David Argüelles Álvarez,Real Sporting de Gijón,2022/23,LB,61,Spain
Ignacio Martín Gómez,Real Sporting de Gijón,2022/23,CDM,61,Spain
Lluís Recasens Vives,RCD Espanyol de Barcelona,2022/23,CB,61,Spain
Abdelkabir Abqar,Deportivo Alavés,2022/23,CB,61,Morocco
Manuel Morillo León,Real Betis Balompié,2022/23,ST,61,Spain
Mikel Carro Fandiño,Real Valladolid CF,2022/23,CM,61,Spain
Manuel Lama Maroto,Atlético de Madrid,2022/23,CB,61,Spain
Carlos Beitia Cardos,RC Celta de Vigo,2022/23,CM,61,Spain
José David Álvarez Adsuar,Deportivo Alavés,2022/23,RB,61,Spain
David Vraciu,Unión Deportiva Almería,2022/23,CAM,60,Romania
Lluc Matas García,Girona FC,2022/23,GK,60,Spain
Antonio Marchena Millán,Real Betis Balompié,2022/23,CM,60,Spain
Pedro Ortiz Bernat,Sevilla FC,2022/23,CM,60,Spain
Diego Vicente Bri Carrazoni,Atlético de Madrid,2022/23,LW,60,Spain
Jesús Lázaro Owono Ngua Akeng,Deportivo Alavés,2022/23,GK,60,Equatorial Guinea
Alejandro Balboa Bandeira,Deportivo Alavés,2022/23,CM,60,Equatorial Guinea
Tomás Mendes Mendes,Deportivo Alavés,2022/23,CM,60,Spain
Adrián Quintela Moya,Rayo Vallecano,2022/23,GK,60,Spain
Alejandro Pérez Castroviejo,Elche CF,2022/23,LW,60,Spain
Alejandro García Oyón,Real Sporting de Gijón,2022/23,ST,60,Spain
Hugo Redón Almela,Levante Unión Deportiva,2022/23,CM,60,Spain
Ryan Johansson,Sevilla FC,2022/23,CDM,60,Republic of Ireland
Darío Ramos Pinazo,CA Osasuna,2022/23,GK,60,Spain
Hugo Sotelo Gómez,RC Celta de Vigo,2022/23,RW,59,Spain
José Luis Friaza Pérez,Elche CF,2022/23,ST,59,Spain
Ángel Algobia Esteves,Getafe CF,2022/23,CM,59,Spain
Javier Garrido López,CD Leganés,2022/23,GK,59,Spain
Adrián González Moyano,Sevilla FC,2022/23,GK,59,Spain
Francisco Delgado Rojano,Real Betis Balompié,2022/23,RB,59,Spain
John Patrick Finn Benoa,Getafe CF,2022/23,CAM,59,Spain
Juan Pedro Navarro Valverde,Elche CF,2022/23,GK,58,Spain
Alejandro Primo Hernández,Levante Unión Deportiva,2022/23,GK,58,Spain
Gorka San Nicolás Gil,SD Eibar,2022/23,GK,58,Spain
Alejandro Rodríguez Lorite,Getafe CF,2022/23,RB,58,Spain
Raúl Blanco Juncal,RC Celta de Vigo,2022/23,CM,58,Spain
Branislav Knežević,Elche CF,2022/23,CAM,57,Serbia
Marc Llinares Barragán,CA Osasuna,2022/23,LB,57,Spain
Jaime Durán Jiménez,RCD Mallorca,2022/23,GK,57,Spain
Unai Ruiz Almandzo,SD Eibar,2022/23,GK,57,Spain
Thibaut Courtois,Real Madrid,2023/24,GK,90,Belgium
Robert Lewandowski,FC Barcelona,2023/24,ST,90,Poland
Vini Jr.,Real Madrid,2023/24,LW,89,Brazil
Marc-André ter Stegen,FC Barcelona,2023/24,GK,89,Germany
Antoine Griezmann,Atlético de Madrid,2023/24,ST,88,France
Federico Valverde,Real Madrid,2023/24,CM,88,Uruguay
Jan Oblak,Atlético de Madrid,2023/24,GK,88,Slovenia
Luka Modrić,Real Madrid,2023/24,CM,87,Croatia
Frenkie de Jong,FC Barcelona,2023/24,CM,87,Holland
Jude Bellingham,Real Madrid,2023/24,CM,86,England
Pedri,FC Barcelona,2023/24,CM,86,Spain
Ronald Araujo,FC Barcelona,2023/24,CB,86,Uruguay
İlkay Gündoğan,FC Barcelona,2023/24,CM,86,Germany
Parejo,Villarreal CF,2023/24,CM,86,Spain
Toni Kroos,Real Madrid,2023/24,CM,86,Germany
Éder Militão,Real Madrid,2023/24,CB,86,Brazil
João Cancelo,FC Barcelona,2023/24,LB,86,Portugal
Marcos Acuña,Sevilla FC,2023/24,LB,85,Argentina
David Alaba,Real Madrid,2023/24,CB,85,Austria
Iago Aspas,RC Celta,2023/24,ST,85,Spain
Jules Koundé,FC Barcelona,2023/24,CB,85,France
Antonio Rüdiger,Real Madrid,2023/24,CB,85,Germany
Rodrygo,Real Madrid,2023/24,RW,85,Brazil
Rodrigo Javier De Paul,Atlético de Madrid,2023/24,CM,84,Argentina
Memphis Depay,Atlético de Madrid,2023/24,ST,84,Holland
Raphinha,FC Barcelona,2023/24,RW,84,Brazil
Marcos Llorente,Atlético de Madrid,2023/24,RW,84,Spain
Mikel Merino,Real Sociedad,2023/24,CM,84,Spain
Álex Remiro,Real Sociedad,2023/24,GK,84,Spain
Koke,Atlético de Madrid,2023/24,CDM,84,Spain
Aurélien Tchouaméni,Real Madrid,2023/24,CDM,84,France
Andreas Christensen,FC Barcelona,2023/24,CB,83,Denmark
Sergi Darder,RCD Mallorca,2023/24,CM,83,Spain
Nabil Fekir,Real Betis,2023/24,CAM,83,France
Nacho Fernández,Real Madrid,2023/24,CB,83,Spain
José María Giménez,Atlético de Madrid,2023/24,CB,83,Uruguay
Borja Iglesias,Real Betis,2023/24,ST,83,Spain
Morata,Atlético de Madrid,2023/24,ST,83,Spain
Gerard Moreno,Villarreal CF,2023/24,ST,83,Spain
Oyarzabal,Real Sociedad,2023/24,LW,83,Spain
Gavi,FC Barcelona,2023/24,CM,83,Spain
Guido Rodríguez,Real Betis,2023/24,CDM,83,Argentina
Unai Simón,Athletic Club,2023/24,GK,83,Spain
Eduardo Camavinga,Real Madrid,2023/24,CDM,82,France
Carvajal,Real Madrid,2023/24,RB,82,Spain
Ángel Correa,Atlético de Madrid,2023/24,ST,82,Argentina
Youssef En-Nesyri,Sevilla FC,2023/24,ST,82,Morocco
Javi Galán,Atlético de Madrid,2023/24,LB,82,Spain
David García,CA Osasuna,2023/24,CB,82,Spain
Gayà,Valencia CF,2023/24,LB,82,Spain
Mario Hermoso,Atlético de Madrid,2023/24,CB,82,Spain
Robin Le Normand,Real Sociedad,2023/24,CB,82,Spain
Jeremías Conan Ledesma,Cádiz CF,2023/24,GK,82,Argentina
Thomas Lemar,Atlético de Madrid,2023/24,CM,82,France
Iñigo Martínez,FC Barcelona,2023/24,CB,82,Spain
Joselu,Real Madrid,2023/24,ST,82,Spain
Ferland Mendy,Real Madrid,2023/24,LB,82,France
Nahuel Molina,Atlético de Madrid,2023/24,RB,82,Argentina
Isi Palazón,Rayo Vallecano,2023/24,RW,82,Spain
Fernando,Sevilla FC,2023/24,CDM,82,Brazil
Stefan Savić,Atlético de Madrid,2023/24,CB,82,Montenegro
Ferran Torres,FC Barcelona,2023/24,LW,82,Spain
Viktor Tsygankov,Girona FC,2023/24,RW,82,Ukraine
Enes Ünal,Getafe CF,2023/24,ST,82,Turkey
Raúl Albiol,Villarreal CF,2023/24,CB,81,Spain
Yeray,Athletic Club,2023/24,CB,81,Spain
Kepa,Real Madrid,2023/24,GK,81,Spain
Balde,FC Barcelona,2023/24,LB,81,Spain
Etienne Capoue,Villarreal CF,2023/24,CM,81,France
Rui Silva,Real Betis,2023/24,GK,81,Portugal
João Félix,FC Barcelona,2023/24,ST,81,Portugal
Reinildo,Atlético de Madrid,2023/24,LB,81,Mozambique
Brais Méndez,Real Sociedad,2023/24,CM,81,Spain
Muniain,Athletic Club,2023/24,CAM,81,Spain
Ivan Rakitić,Sevilla FC,2023/24,CM,81,Croatia
Sancet,Athletic Club,2023/24,CAM,81,Spain
William Carvalho,Real Betis,2023/24,CDM,81,Portugal
Lucas Vázquez,Real Madrid,2023/24,RB,81,Spain
Iñaki Williams,Athletic Club,2023/24,RW,81,Ghana
Isco,Real Betis,2023/24,CAM,80,Spain
Mauro Arambarri,Getafe CF,2023/24,CDM,80,Uruguay
Ezequiel Ávila,CA Osasuna,2023/24,ST,80,Argentina
Edgar Badia,Elche CF,2023/24,GK,80,Spain
Fran Beltrán,RC Celta,2023/24,CDM,80,Spain
Álex Berenguer,Athletic Club,2023/24,LW,80,Spain
Claudio Bravo,Real Betis,2023/24,GK,80,Chile
Francis Coquelin,Villarreal CF,2023/24,CM,80,France
De Marcos,Athletic Club,2023/24,RB,80,Spain
Brahim,Real Madrid,2023/24,CAM,80,Spain
Marko Dmitrović,Sevilla FC,2023/24,GK,80,Serbia
Aritz Elustondo,Real Sociedad,2023/24,CB,80,Spain
Suso,Sevilla FC,2023/24,RW,80,Spain
Juan Foyth,Villarreal CF,2023/24,RB,80,Argentina
Aleix García,Girona FC,2023/24,CM,80,Spain
Nemanja Gudelj,Sevilla FC,2023/24,CB,80,Serbia
Joan Jordán,Sevilla FC,2023/24,CM,80,Spain
Takefusa Kubo,Real Sociedad,2023/24,RW,80,Japan
Erik Lamela,Sevilla FC,2023/24,RW,80,Argentina
Giorgi Mamardashvili,Valencia CF,2023/24,GK,80,Georgia
Arnau Martínez,Girona FC,2023/24,RB,80,Spain
Vedat Muriqi,RCD Mallorca,2023/24,ST,80,Kosovo
Jesús Navas,Sevilla FC,2023/24,RB,80,Spain
Saúl,Atlético de Madrid,2023/24,CM,80,Spain
Lucas Ocampos,Sevilla FC,2023/24,RW,80,Argentina
Sergi Roberto,FC Barcelona,2023/24,RB,80,Spain
Oriol Romeu,FC Barcelona,2023/24,CDM,80,Spain
David Soria,Getafe CF,2023/24,GK,80,Spain
Kieran Tierney,Real Sociedad,2023/24,LB,80,Scotland
Hamari Traoré,Real Sociedad,2023/24,RB,80,Mali
André Silva,Real Sociedad,2023/24,ST,80,Portugal
Jonathan Viera,UD Las Palmas,2023/24,CAM,80,Spain
Zubeldia,Real Sociedad,2023/24,CB,80,Spain
Zubimendi,Real Sociedad,2023/24,CDM,80,Spain
Joseph Aidoo,RC Celta,2023/24,CB,79,Ghana
Marcos Alonso,FC Barcelona,2023/24,LB,79,Spain
Azpilicueta,Atlético de Madrid,2023/24,RB,79,Spain
Marc Bartra,Real Betis,2023/24,CB,79,Spain
Yuri Berchiche,Athletic Club,2023/24,LB,79,Spain
Catena,CA Osasuna,2023/24,CB,79,Spain
Dani Ceballos,Real Madrid,2023/24,CM,79,Spain
Raúl de Tomás,Rayo Vallecano,2023/24,ST,79,Spain
Stole Dimitrievski,Rayo Vallecano,2023/24,GK,79,North Macedonia
Álvaro García,Rayo Vallecano,2023/24,LW,79,Spain
Moi Gómez,CA Osasuna,2023/24,CM,79,Spain
Edgar,UD Almería,2023/24,CB,79,Spain
Ander Herrera,Athletic Club,2023/24,CM,79,Spain
Sergio Herrera,CA Osasuna,2023/24,GK,79,Spain
David López,Girona FC,2023/24,CB,79,Spain
Morales,Villarreal CF,2023/24,ST,79,Spain
Ayoze Pérez,Real Betis,2023/24,LW,79,Spain
Yeremy Pino,Villarreal CF,2023/24,LW,79,Spain
Lucas Robertone,UD Almería,2023/24,CM,79,Argentina
Alexander Sørloth,Villarreal CF,2023/24,ST,79,Norway
Óliver Torres,Sevilla FC,2023/24,CM,79,Spain
Vivian,Athletic Club,2023/24,CB,79,Spain
Nico Williams,Athletic Club,2023/24,RW,79,Spain
Axel Witsel,Atlético de Madrid,2023/24,CDM,79,Belgium
Gabriel Paulista,Valencia CF,2023/24,CB,78,Brazil
Héctor Bellerín,Real Betis,2023/24,RB,78,Spain
Santi Comesaña,Villarreal CF,2023/24,CDM,78,Spain
Munir,UD Las Palmas,2023/24,LW,78,Morocco
Alfonso Espino,Rayo Vallecano,2023/24,LB,78,Uruguay
Aitor,CA Osasuna,2023/24,GK,78,Spain
Rubén García,CA Osasuna,2023/24,LW,78,Spain
Fran García,Real Madrid,2023/24,LB,78,Spain
Pepelu,Valencia CF,2023/24,CDM,78,Spain
Paulo Gazzaniga,Girona FC,2023/24,GK,78,Argentina
Guaita,RC Celta,2023/24,GK,78,Spain
Dodi Lukébakio,Sevilla FC,2023/24,RW,78,Belgium
Pablo Maffeo,RCD Mallorca,2023/24,RWB,78,Spain
Nemanja Maksimović,Getafe CF,2023/24,CM,78,Serbia
Agustín Marchesín,RC Celta,2023/24,GK,78,Argentina
Fernando,UD Almería,2023/24,GK,78,Spain
Luis Milla,Getafe CF,2023/24,CM,78,Spain
Moncayola,CA Osasuna,2023/24,CM,78,Spain
Marcão,Sevilla FC,2023/24,CB,78,Brazil
Pedraza,Villarreal CF,2023/24,LB,78,Spain
Predrag Rajković,RCD Mallorca,2023/24,GK,78,Serbia
André Almeida,Valencia CF,2023/24,CM,78,Portugal
Dani Rodríguez,RCD Mallorca,2023/24,RW,78,Spain
Djibril Sow,Sevilla FC,2023/24,CM,78,Switzerland
Renato Tapia,RC Celta,2023/24,CDM,78,Peru
Óscar Trejo,Rayo Vallecano,2023/24,CAM,78,Argentina
Myrto Uzuni,Granada CF,2023/24,ST,78,Albania
Vesga,Athletic Club,2023/24,CM,78,Spain
Luís Maximiano,UD Almería,2023/24,GK,77,Portugal
Loïc Badé,Sevilla FC,2023/24,CB,77,France
Iván Balliu,Rayo Vallecano,2023/24,RB,77,Albania
Jonathan Bamba,RC Celta,2023/24,LW,77,France
Daley Blind,Girona FC,2023/24,CB,77,Holland
Lucas Boyé,Granada CF,2023/24,ST,77,Argentina
Martin Braithwaite,RCD Espanyol,2023/24,ST,77,Denmark
Ante Budimir,CA Osasuna,2023/24,ST,77,Croatia
Franco Cervi,RC Celta,2023/24,LW,77,Argentina
Jaume Costa,RCD Mallorca,2023/24,LWB,77,Spain
De Frutos,Rayo Vallecano,2023/24,RW,77,Spain
Samuel Lino,Atlético de Madrid,2023/24,LW,77,Brazil
Dakonam Djené,Getafe CF,2023/24,CB,77,Togo
Gonzalo Escalante,Cádiz CF,2023/24,CM,77,Argentina
Raúl García,Athletic Club,2023/24,ST,77,Spain
Maximiliano Gómez,Cádiz CF,2023/24,ST,77,Uruguay
Arda Güler,Real Madrid,2023/24,CAM,77,Turkey
Guruzeta,Athletic Club,2023/24,ST,77,Spain
Adnan Januzaj,Sevilla FC,2023/24,RW,77,Belgium
Florian Lejeune,Rayo Vallecano,2023/24,CB,77,France
Darwin Machís,Cádiz CF,2023/24,LW,77,Venezuela
Jordi Masip,R. Valladolid CF,2023/24,GK,77,Spain
Melendo,Granada CF,2023/24,CM,77,Spain
Domingos Duarte,Getafe CF,2023/24,CB,77,Portugal
Pere Milla,RCD Espanyol,2023/24,ST,77,Spain
Rafa Mir,Sevilla FC,2023/24,ST,77,Spain
Miranda,Real Betis,2023/24,LB,77,Spain
Johan Mojica,CA Osasuna,2023/24,LB,77,Colombia
César Montes,UD Almería,2023/24,CB,77,Mexico
Unai Núñez,RC Celta,2023/24,CB,77,Spain
Brian Oliván,RCD Espanyol,2023/24,LB,77,Spain
Pepe Reina,Villarreal CF,2023/24,GK,77,Spain
Thierry Correia,Valencia CF,2023/24,RB,77,Portugal
Diego Rico,Getafe CF,2023/24,LB,77,Spain
Riquelme,Atlético de Madrid,2023/24,LW,77,Spain
Luiz Henrique,Real Betis,2023/24,RW,77,Brazil
Youssouf Sabaly,Real Betis,2023/24,RB,77,Senegal
Umar Sadiq,Real Sociedad,2023/24,ST,77,Nigeria
Rodri,Real Betis,2023/24,LW,77,Spain
Çağlar Söyüncü,Atlético de Madrid,2023/24,CB,77,Turkey
Cristhian Stuani,Girona FC,2023/24,ST,77,Uruguay
Damián Suárez,Getafe CF,2023/24,RWB,77,Uruguay
Lucas Torró,CA Osasuna,2023/24,CDM,77,Spain
Manu Trigueros,Villarreal CF,2023/24,CM,77,Spain
Martin Valjent,RCD Mallorca,2023/24,CB,77,Slovakia
Omar Alderete,Getafe CF,2023/24,CB,76,Paraguay
Iddrisu Baba,UD Almería,2023/24,CM,76,Ghana
Álex Baena,Villarreal CF,2023/24,CM,76,Spain
Eric Curbelo,UD Las Palmas,2023/24,CB,76,Spain
Willian José,Real Betis,2023/24,ST,76,Brazil
Mouctar Diakhaby,Valencia CF,2023/24,CB,76,Guinea
Embarba,UD Almería,2023/24,LW,76,Spain
Dani García,Athletic Club,2023/24,CM,76,Spain
Adrià Pedrosa,Sevilla FC,2023/24,LB,76,Spain
Gorosabel,D. Alavés,2023/24,RB,76,Spain
Andrés Guardado,Real Betis,2023/24,CDM,76,Mexico
Aridane,Rayo Vallecano,2023/24,CB,76,Spain
Yangel Herrera,Girona FC,2023/24,CM,76,Venezuela
Aïssa Mandi,Villarreal CF,2023/24,CB,76,Algeria
Óscar Valentín,Rayo Vallecano,2023/24,CDM,76,Spain
Alberto Moreno,Villarreal CF,2023/24,LB,76,Spain
Odriozola,Real Sociedad,2023/24,RB,76,Spain
Carles Pérez,RC Celta,2023/24,RW,76,Spain
Germán Pezzella,Real Betis,2023/24,CB,76,Argentina
Puado,RCD Espanyol,2023/24,LW,76,Spain
Aitor Ruibal,Real Betis,2023/24,RB,76,Spain
Ruiz de Galarreta,Athletic Club,2023/24,CM,76,Spain
Álvaro Valles,UD Las Palmas,2023/24,GK,76,Spain
Nacho Vidal,CA Osasuna,2023/24,RB,76,Spain
Rubén Alcaraz,Cádiz CF,2023/24,CM,75,Spain
Juan Cruz,CA Osasuna,2023/24,LB,75,Spain
Selim Amallah,Valencia CF,2023/24,CAM,75,Morocco
Copete,RCD Mallorca,2023/24,CB,75,Spain
Keidi Bare,RCD Espanyol,2023/24,CDM,75,Albania
Kike Barja,CA Osasuna,2023/24,RW,75,Spain
José Callejón,Granada CF,2023/24,LW,75,Spain
Sergio Camello,Rayo Vallecano,2023/24,ST,75,Spain
Léo Baptistão,UD Almería,2023/24,RW,75,Brazil
Fidel,Elche CF,2023/24,LW,75,Spain
Víctor Chust,Cádiz CF,2023/24,CB,75,Spain
Saúl Coco,UD Las Palmas,2023/24,CB,75,Equatorial Guinea
Víctor Díaz,Granada CF,2023/24,CB,75,Spain
Rubén Duarte,D. Alavés,2023/24,LB,75,Spain
Edu Expósito,RCD Espanyol,2023/24,CAM,75,Spain
Álex Fernández,Cádiz CF,2023/24,CAM,75,Spain
Unai García,CA Osasuna,2023/24,CB,75,Spain
Eric García,Girona FC,2023/24,CB,75,Spain
Falcao,Rayo Vallecano,2023/24,ST,75,Colombia
Ivo Grbić,Atlético de Madrid,2023/24,GK,75,Croatia
Hugo Guillamón,Valencia CF,2023/24,CDM,75,Spain
Luís Hernández,Cádiz CF,2023/24,CB,75,Spain
Fali,Cádiz CF,2023/24,CB,75,Spain
Cyle Larin,RCD Mallorca,2023/24,ST,75,Canada
Enzo Loiodice,UD Las Palmas,2023/24,CM,75,France
Omar Mascarell,RCD Mallorca,2023/24,CM,75,Spain
Moleiro,UD Las Palmas,2023/24,LW,75,Spain
Joni Montiel,R. Valladolid CF,2023/24,CAM,75,Spain
Negredo,Cádiz CF,2023/24,ST,75,Spain
Kenedy,R. Valladolid CF,2023/24,LW,75,Brazil
Pacheco,RCD Espanyol,2023/24,GK,75,Spain
Rubén Peña,CA Osasuna,2023/24,RB,75,Spain
Portu,Girona FC,2023/24,RW,75,Spain
Raíllo,RCD Mallorca,2023/24,CB,75,Spain
Sandro,UD Las Palmas,2023/24,ST,75,Spain
Luis Rioja,D. Alavés,2023/24,LW,75,Spain
Marc Roca,Real Betis,2023/24,CDM,75,Spain
Óscar,Getafe CF,2023/24,CM,75,Spain
Javi Sánchez,R. Valladolid CF,2023/24,CB,75,Spain
Boubakary Soumaré,Sevilla FC,2023/24,CDM,75,France
Luis Javier Suárez,UD Almería,2023/24,ST,75,Colombia
Denis Suárez,Villarreal CF,2023/24,CM,75,Spain
Nahuel Tenaglia,D. Alavés,2023/24,RB,75,Argentina
Kevin,RC Celta,2023/24,RB,75,Spain
Lázaro,UD Almería,2023/24,LW,75,Brazil
Shon Weissman,Granada CF,2023/24,ST,75,Israel
Akieme,UD Almería,2023/24,LB,74,Spain
Iván Alejo,Cádiz CF,2023/24,RW,74,Spain
Aleñá,Getafe CF,2023/24,CM,74,Spain
Samú Costa,RCD Mallorca,2023/24,CDM,74,Portugal
Sergio Álvarez,SD Eibar,2023/24,CDM,74,Spain
Barrenetxea,Real Sociedad,2023/24,LW,74,Spain
Darko Brašanac,CA Osasuna,2023/24,CM,74,Serbia
Ben Brereton Díaz,Villarreal CF,2023/24,LW,74,Chile
Leandro Cabrera,RCD Espanyol,2023/24,CB,74,Uruguay
Calero,RCD Espanyol,2023/24,CB,74,Spain
Iza Carcelén,Cádiz CF,2023/24,RB,74,Spain
Dani Cárdenas,Rayo Vallecano,2023/24,GK,74,Spain
Sergi Cardona,UD Las Palmas,2023/24,LB,74,Spain
Pathé Ciss,Rayo Vallecano,2023/24,CDM,74,Senegal
Bebé,Rayo Vallecano,2023/24,LW,74,Cape Verde Islands
Tasos Douvikas,RC Celta,2023/24,ST,74,Greece
Hugo Duro,Valencia CF,2023/24,ST,74,Spain
